algorithm,method,couriers,mean,std,min,max
hc,insert,1,28.65279085539026,1.45451479541852,24.727414761598766,33.21144846788038
hc,insert,2,16.548608974931486,0.7663746772978088,14.390941299012605,19.43037342847331
hc,insert,3,11.957639823232231,0.5109699392237608,10.45468276540608,13.882202257179461
hc,insert,4,9.606694912586784,0.41434416960892034,8.475657071752437,11.161088414487772
hc,insert,5,8.149731984086491,0.33159379027392044,7.296458109681815,9.276787885295663
hc,insert,6,7.186791652571183,0.28282543115545145,6.146538362604453,8.280930143162893
hc,swap,1,39.694777125186256,2.4460898052274183,30.960717131654782,48.70843509911409
hc,swap,2,20.840612655393834,1.4588786190674787,17.37092884193367,27.170584110851927
hc,swap,3,14.407976911417544,1.1819639149783263,11.840985902512877,20.3522349664131
hc,swap,4,11.285366313430263,0.9390575760529692,9.195682398695855,15.427643041507377
hc,swap,5,9.322254239232135,0.7158691995560099,7.539644396868285,13.091677078288743
hc,swap,6,8.059756795704645,0.6198699922371411,6.468249937011047,10.728007057946375
hc,reverse,1,20.032709793910822,0.5874405205070247,18.018285370709076,22.21047650968776
hc,reverse,2,12.412030026330859,0.6280520386329557,10.760479237711847,14.69700245069892
hc,reverse,3,10.173498621301425,0.4507021171369589,8.681098343943443,11.681352557206822
hc,reverse,4,9.129984416934057,0.406338056986365,7.980885264777044,10.393717694051826
hc,reverse,5,8.451100200669442,0.34658033882350886,7.2953148525557845,9.607314776080552
hc,reverse,6,7.869886284653552,0.32824416224923914,6.730219062657441,8.898757529151434
hc,random,1,20.314800990445594,0.5596621298848177,17.90483979727309,22.291132898338823
hc,random,2,12.936870653462972,0.538560967658664,11.447100507312374,14.556584526101345
hc,random,3,10.06545751518478,0.38508392063686003,9.027167435706836,11.314795478896547
hc,random,4,8.506030707565259,0.31406893019489507,7.360653202407489,9.435993765536901
hc,random,5,7.506689012060788,0.2858222168394207,6.778424608272822,8.714914402872608
hc,random,6,6.810825674310547,0.25864496381920493,6.090019630975225,7.742545107704705
hc,distribute,2,20.47534558520976,3.335219434492133,13.884665275962403,46.39835453082219
hc,distribute,3,9.962995100083372,0.7379015945599876,8.120279145865197,14.585988098377236
